id	name	set	politics_cost	intrigue_cost	one_power_cost	combat_cost	type	subtype_allegiance	attribute	politics_ability	intrigue_ability	one_power_ability	combat_ability	rarity	collector	text	flavor	artist
into_the_fight	Into the Fight	premier					Event	Limited						Uncommon	01-135 U	The next character you recruit has minus one to the cost of one ability of your choice.  This character is placed in the battleground (instead of your home front) and gains Reinforcement (for the rest of the turn).		
intolerance	Intolerance	premier					Event	Limited						Common	01-136 C	Target a player.  All cards with an allegiance different from his Hero or Villain character cause the allegiance penalty when being recruited.		
ishamael_i	Ishamael (I)	premier					Character	Dark One	Starting Villain, Forsaken	1	2	4	1	Rare	01-137 R	Ishamael may roll an extra Intrigue die while you have more Pattern tokens than any other player.  Unless a Hero player has at least 4 Pattern, all [Damage Icon] rolled by Ishamael are ignored.
jaichim_carridin	Jaichim Carridin	premier	1	2			Character	Dark One	Inquisitor	1	2		1	Rare	01-138 R	Jaichim has the Children of the Light allegiance.  When Jaichim rotates to generate symbols at the beginning of the action round, he automatically generates a [Politics Icon].		
jasin_natael	Jasin Natael	premier					Advantage	Character						Uncommon	01-139 U	May only target Asmodean.  He gains +1 Intrigue and Gleeman.  You may rotate this advantage as a limited event to look at the top card in another player's deck.		
juilin_sandar	Juilin Sandar	premier	2				Character	Tear	Light Nature, Thief-catcher		2		2	Rare	01-140 R	Rotate Juilin and target a character in play.  The target's Intrigue is reduced by Juilin's Intrigue.  If this effect would kill a character, he is discarded but is not considered killed. [CLARIFICATION: Juilin Sandar can only target non-hero and non-villain characters with his ability. - 02.13.2000 - ERRATA]		
knowledge_is_power	Knowledge is Power	premier					Event							Common	01-141 C	Pay any number of [Intrigue Icon].  For each [Intrigue Icon] you pay, target one player.  Look at the top card of each target's deck.  You may discard any of the cards you view.		
lady_aemlyn	Lady Aemlyn	premier	2			1	Character	Andor	Light Nature	1	1		1	Fixed	01-142 F	While participating in a challenge, Lady Aemlyn can convert any ability symbol she rolls into a [Support Icon].		
lady_arathelle	Lady Arathelle	premier	1				Character	Andor	Light Nature	2				Fixed	01-143 F			
lady_colavaere	Lady Colavaere	premier	1	1			Character	Cairhien		2	2			Uncommon	01-144 U	Lady Colavaere gains +1 Intrigue while there are no other Cairhien characters in play with Politics or Intrigue greater than 2.		
lady_elenia	Lady Elenia	premier	1				Character	Andor	Dark Nature	1	1			Fixed	01-145 F	You may rotate Lady Elenia as a limited event to have her cease participating in a challenge.		
lady_ellorien	Lady Ellorien	premier	2				Character	Andor	Light Nature	2	1			Fixed	01-146 F			
lan_mandragoran	Lan Mandragoran	premier	1			2	Character	Aes Sedai	Warder, Light Nature, Bonded to Moiraine Sedai		1		4	Fixed	01-147 F	Lan cannot be controlled by a Villain player.  Lan may pay [Combat Icon x2] to generate either a [Politics Icon] or a [Intrigue Icon].		
lanfear_i	Lanfear (I)	premier					Character	Dark One	Starting Villain, Forsaken, Dreamwalker	2	2	4		Rare	01-148 R	Whenever Lanfear rolls at least [One Power x3], she may rotate the Dragon Reborn for no effect.
learning_from_the_past	Learning From The Past	premier					Challenge							Common	01-149 C	Only Politics and Intrigue may be rolled in this challenge.  If you succeed, this challenge becomes a player advantage targeting you.  You may discard the advantage to pay for the ability symbol cost of playing an advantage.		
liandrin_sedai	Liandrin Sedai	premier	1	2	1		Character	Dark One	Black Ajah	2	3	2		Rare	01-150 R	Liandrin has the Aes Sedai allegiance, and is considered to be Red Ajah.  Rotate Liandrin as an event to look at a random card in another player's hand.  If the card has any [One Power Icon] in its cost, discard it.		
light_cavalry	Light Cavalry	premier	1			1	Troop	Mercenary	Multiple				2	Fixed/Common	01-151 F/C	If you succeed at a challenge in which this troop participated and if this card has less than 2 damage, you may put one point of damage on another player's troop that participated, after all normal damage is applied.		
lightning	Lightning	premier					Event							Uncommon	01-152 U	Play this card during the Opening Moves or Coming to Grips step of a challenge.  Target a character or troop participating in that challenge.  Pay [One Power Icon] [One Power Icon]  to put one point of damage on the target.  For each additional [One Power Icon] [One Power Icon] you pay, you may put a point of damage on a different participating character or troop.		
limit_the_opposition	Limit the Opposition	premier					Challenge							Uncommon	01-153 U	If you succeed, this challenge becomes a player advantage targeting you.  Place a limit token on the advantage for each two by which you succeed.  During the ready round you may remove a limit token to target another player.  The target cannot draw more than two cards during that turn.		
local_aid	Local Aid	premier					Event							Common	01-154 C	For each [Combat Icon x2] you pay, remove one token from your opponent's troop damage pool.		
loial	Loial	premier	2				Character	Dragon	Treesinger, Ogier	2			1	Rare	01-155 R	Whenever Loial participates in a challenge, draw one card during the Opening Moves step of that challenge.		
longbow	Longbow	premier				2	Advantage	Character	Weapon					Rare	01-156 R	Target a character with the Combat ability. While the target is participating in a challenge rotate him as a limited event, select a non-Ta'veren, non-Starting character participating in the same challenge, and roll the target's Combat dice. Apply any rolled damage on the character selected. Other results are ignored. [08.21.2001 - ERRATA]		
lord_barthanes	Lord Barthanes	premier	2	2			Character	Dark One		2	3		1	Rare	01-157 R	Barthanes has the Cairhien allegiance.  While participating in a challenge, all Intrigue ability symbols Barthanes rolls are converted into damage symbols.		
lord_daricain	Lord Daricain	premier	1			2	Character	Cairhien		2	1		2	Uncommon	01-158 U			
lord_edorion	Lord Edorion	premier	2				Character	Tear		1	1		1	Common	01-159 C	If Lord Edorion's cost is payed for by a Tear High Lord or Tear High Lady, this card's cost is [Politics Icon]. [CLARIFICATION: Lord Edorian's effect triggers on card titles. - 06.27.2000 - ERRATA]		
lord_gaebril	Lord Gaebril	premier					Advantage	Character						Fixed	01-160 F	May only target Rahvin.  Rahvin gains the Andor allegiance.		
lord_jarid	Lord Jarid	premier	2				Character	Andor	Dark Nature	2			1	Fixed	01-161 F	If Lord Jarid rolls three ability symbols during a turn, draw one card.		
lord_lir	Lord Lir	premier	2			1	Character	Andor	Dark Nature	2	1		1	Fixed	01-162 F	During the Opening Moves step of a challenge in which Lord Lir is participating, you may add one point of damage to Lord Lir to add a token to your character damage pool. [CLARIFICATION: Lord Lir's ability may be used a maximum of once per turn. You may use his ability during the Opening Moves, regardless of how much damage is on Lord Lir. - 06.27.2000 - ERRATA]		
lord_meresin	Lord Meresin	premier	1	1		1	Character	Cairhien	Reinforcement	1	1		2	Uncommon	01-163 U			
lord_nasin	Lord Nasin	premier	2			1	Character	Andor	Dark Nature	2	1		2	Fixed	01-164 F			
lord_pelivar	Lord Pelivar	premier	2			1	Character	Andor	Light Nature	2			2	Fixed	01-165 F	As an event, Lord Pelivar may pay [Combat Icon] to remove one point of damage from an opponent's character damage pool in a challenge in which this card is participating.		
lord_perrin	Lord Perrin	premier					Character	Dragon	Ta'veren, Wolfbrother, Reinforcement	2	1		3	Rare	01-166 R	You must have 4 Pattern to replace Perrin Aybara.  Perrin gains +1 Combat while participating in a challenge against monster characters.  When applying his damage while participating in a challenge, Perrin can choose which applicable character any damage he has generated is applied to.		
lord_talmanes	Lord Talmanes	premier	1	1		2	Character	Cairhien		1	1		3	Uncommon	01-167 U	When Lord Talmanes participates in a challenge, you may target a troop participating in the same challenge.  It may not ready on the next ready round.		
lucky_find	Lucky Find	premier					Event							Rare	01-168 R	Choose a type of advantage (such as a player advantage).  Find the top advantage of that type in your deck and place it in your hand.		
marksmen	Marksmen	premier				2	Advantage	Troop	Weapon					Uncommon	01-169 U	Target a troop you control.  The target's Combat ability is reduced by two.  While participating in a challenge, the target rolls its dice and applies the results in the Opening Moves step instead of the Coming to Grips step (any damage generated is still considered troop damage).		
mat_cauthon_i	Mat Cauthon (I)	premier	2				Character	Dragon	Ta'veren		2		1	Fixed	01-170 F	You may reroll one of Mat's dice each turn (immediately after making his initial roll, the old result is ignored).
mat_the_warrior	Mat the Warrior	premier					Character	Dragon	Ta'veren	1	2		4	Rare	01-171 R	You must have 4 Pattern to replace Mat Cauthon.  You may reroll one of Mat's dice each turn (immediately after making his initial roll, the old result is ignored).  Mat may participate in challenges as a troop.  Symbols Mat generates have all allegiances when they are used to recruit troops.		
min	Min	premier	1	1			Character	Dragon		1	1			Rare	01-172 R	Rotate Min as an event and target a character you control.  Retrieve a replacement character with a Pattern requirement for the target from your deck and place it in your hand.  If Min is ever killed, you must convert one of your Pattern tokens into a neutral token. [CLARIFICATION: pattern requirement = a number of tokens on the pattern as a whole or your section of the pattern depending on the replacement card  09.06.2000 - ERRATA]		
misdirection	Misdirection	premier					Event							Common	01-173 C	Pay [One Power Icon] to target a troop whose recruit cost is two or less.  For each additional [One Power Icon x2] you pay, you may target another troop whose recruit cost is two or less.  Rotate the targets for no effect.		
moghedien_i	Moghedien (I)	premier					Character	Dark One	Starting Villain, Forsaken, Dreamwalker		3	4		Rare	01-174 R	Whenever Moghedien rolls at least [One Power Icon x3], you do not have to reveal your challenge card on the next turn until after the Challenge Round is over.  You must announce any participation restrictions on a hidden challenge card.
moiraine_sedai	Moiraine Sedai	premier	2	1	1		Character	Aes Sedai	Blue Ajah, Light Nature, Bonded to Lan Mandragoran	2	2	2		Fixed	01-175 F	Moiraine cannot be controlled by a Villain player.  If the Dragon Reborn pays any of Moiraine's recruit cost, you may pay exactly [Politics Icon x2] [One Power Icon] to recruit her.		
momentum	Momentum	premier					Advantage	Player						Uncommon	01-176 U	If you gain a token from the Pattern challenge, you gain 2 support or opposition (your choice) in every other challenge that takes place that turn.		
morgase_trakand	Morgase Trakand	premier	4				Character	Andor	Light Nature, Queen of Andor	4	1			Rare	01-177 R	You must have 4 Pattern to recruit Morgase.  You may rotate Morgase to add two tokens to the Andor contested advantage.		
mount	Mount	premier					Advantage	Character						Rare	01-178 R	The targeted character gains Reinforcement.		
nae_blis	Nae'blis	premier					Advantage	World	Contested Advantage					Uncommon	01-179 U	Only cards controlled by a Villain player may participate in challenges initiated by this challenge.  If any Villain player wins the Last Battle, the Villain controller of this advantage wins instead.		
narg	Narg	premier				1	Character	Dark One	Monster, Trolloc		1		1	Common	01-180 C			
narrow_escape	Narrow Escape	premier					Event							Uncommon	01-181 U	Play when a (non-Hero, non-Villain) character you control is killed.  Convert one of your Pattern tokens into a neutral token to place that character in your hand.  He is not considered killed.		
noble_allies	Noble Allies	premier					Challenge							Rare	01-182 R	If you succeed, this challenge becomes a player advantage targeting you.  The advantage increases your maximum hand size by 2.		
nynaeve_al_meara	Nynaeve al'Meara	premier	2				Character	Aes Sedai	Accepted, Light Nature	1		2		Rare	01-183 R	If Nynaeve rolls a number of [One Power Icon] equal to her permanent One Power ability, she gains +1 One Power permanently, to a maximum of four.  When Nynaeve rolls One Power dice, the results are ignored unless she rolls at least one [One Power Icon].		
overrun	Overrun	premier					Event							Fixed	01-184 F	Remove any number of tokens from your troop damage pool.  For each token removed, add one token to your character damage pool.		
padan_fain	Padan Fain	premier		1			Character	Dark One			1			Fixed	01-185 F	Padan Fain gains +1 Intrigue while participating in a challenge.  Padan Fain may reinforce any challenge in which the Dragon Reborn is participating.		
patrol	Patrol	premier	1				Troop	Children of the Light	Multiple				2	Uncommon	01-186 U	While participating in a challenge, this card may act as either a character or as a troop.		
pedron_niall	Pedron Niall	premier	4	2		2	Character	Children of the Light	Lord Captain Commander	3	3		2	Rare	01-187 R	You must have 2 Pattern to recruit this character. While you control Pedron Niall, Children of the Light troops you control gain +1 Combat. You may draw an additional card during the draw round. [08.21.2001 - ERRATA]		
perrin_aybara_i	Perrin Aybara (I)	premier	2				Character	Dragon	Ta'veren, Wolfbrother	1			2	Fixed	01-188 F	When applying his damage while participating in a challenge, Perrin can choose which applicable character any damage he has generated is applied to.
personal_growth	Personal Growth	premier					Event							Fixed	01-189 F	Target a character you control who rolled at least one ability symbol during a challenge.  Pay one of those symbols.  This card becomes a character advantage giving the target character +1 to that ability.		
plots	Plots	premier		1			Event							Fixed	01-190 F	Play during a challenge.  Roll two Politics dice and add the results to your pools.		
political_isolation	Political Isolation	premier					Challenge							Common	01-191 C	Target a player.  If you succeed, the target may not roll any Politics dice next turn.		
political_maneuvering	Political Maneuvering	premier					Challenge							Common	01-192 C	Only Politics dice may be rolled in this challenge.  If successful, add a token to your section of the Pattern.		
political_prisoner	Political Prisoner	premier					Challenge							Rare	01-193 R	Target a non-Hero, non-Villain character.  For each two by which you succeed, place a prisoner token on the target.  The target is rotated and may not ready while any prisoner tokens remain on him.  Remove one prisoner token for each [Politics Icon] paid by any player as a limited event.		
portal_stone	Portal Stone	premier					Event	Limited						Uncommon	01-194 U	Target one or more characters you control.  Roll one of the target's One Power dice.  For each [One Power Icon] rolled, two of the target characters of your choice become participants in one challenge of your choice.  Each targeted participant generates one additional [Support Icon] in that challenge.  All target characters who do not participate in that challenge rotate for no effect.		
power_suppression	Power Suppression	premier					Event							Rare	01-195 R	For each [One Power Icon x2] you pay, target a rotated character.  The targeted characters may not ready during the next ready round.		
prepared_defense	Prepared Defense	premier					Event	Limited						Common	01-196 C	Target a challenge.  Only events that have at least one [One Power Icon] in their cost may be played while resolving that challenge.		
prolonged_campaign	Prolonged Campaign	premier					Challenge							Rare	01-197 R	Requires four Pattern to initiate.  If you succeed, add a token to your section of the Pattern.  If you succeed by 4 or more, add an additional token to your section of the pattern.  If your opponent generated no opposition to the challenge, add an additional token to your section of the Pattern.  Participants in this challenge do not ready on the following turn.		
prophecy	Prophecy	premier			1		Event							Uncommon	01-198 U	Look at the top four cards of your draw deck.  Put two of the cards on the bottom of your deck, and return the other two cards to the top of your deck (in any order).		
pull_of_the_pattern	Pull of the Pattern	premier					Event							Uncommon	01-199 U	May only be played by a Hero player.  Name a card.  Reveal the top five cards of your deck.  Put any cards with that name into your hand.  Shuffle the rest back into your deck.		
queen_s_guard	Queen's Guard	premier	2			1	Troop	Andor					5	Rare	01-200 R	For each [Damage Icon] this troop rolls, it generates an additional [Damage Icon] if you control the Queen of Andor.		
rahvin_i	Rahvin (I)	premier					Character	Dark One	Starting Villain, Forsaken		1	4	1	Fixed	01-201 F	As an event, Rahvin may pay [One Power Icon x3] that he rolled to cause one point of damage to any character or troop in play.
raiding_party	Raiding Party	premier	1			1	Troop	Aiel	Multiple, Reinforcement		1		2	Uncommon	01-202 U	The Raiding Party gains +1 Combat ability while participating in a card-based challenge you initiate.		
rallying_cry	Rallying Cry	premier					Challenge							Uncommon	01-203 U	If you succeed, this challenge becomes a player advantage targeting you.  Whenever you succeed at a challenge, add a rallying token to this card.  Remove one rallying token to reduce the cost of a troop by one ability of your choice.		
rampage	Rampage	premier					Challenge							Fixed	01-204 F	Only the Villain player may initiate this challenge.  Target another player.  For each point by which you succeed, the target must discard a random card from his hand.		
rand_al_thor_i	Rand al'Thor (I)	premier					Character	Dragon	Starting Hero, Dragon Reborn, Ta'veren	1		2	2	Rare	01-205 R	While you control a nation contested advantage, Rand gains the allegiance of that nation.  If Rand rolls at least [One Power Icon x2], he permanently gains +1 One Power, to a maximum of four.		
rand_al_thor_ii	Rand al'Thor (II)	premier					Character	Dragon	Starting Hero, Dragon Reborn, Ta'veren	1		3		Rare	01-206 R	If Rand pays any of the cost for any events requiring One Power, the One Power cost for the card is decreased by 1.  If Rand rolls at least [One Power Icon x2], he permanently gains +1 One Power, to a maximum of five.		
rand_al_thor_iii	Rand al'Thor (III)	premier					Character	Dragon	Starting Hero, Dragon Reborn, Ta'veren	1	1	2	1	Rare	01-207 R	Select a non-Dark One allegiance at the beginning of the game.  Rand has that allegiance.  If Rand rolls at least [One Power Icon x2], he permanently gains +1 One Power, to a maximum of four.		
rand_al_thor_iv	Rand al'Thor (IV)	premier					Character	Dragon	Starting Hero, Dragon Reborn, Ta'veren	1		2	1	Fixed	01-208 F	If Rand pays any of the cost to recruit a Dragon or light nature character, apply -1 to the cost of each ability (after all other modifications).  If Rand rolls at least [One Power Icon x2], he permanently gains +1 One Power, to a maximum of four.		
rand_the_king	Rand the King	premier					Character	Dragon		4	2	5	3	Rare	01-209 R	Replace a Dragon Reborn character when you have 8 Pattern.  Rand the King gains the allegiances of all characters he controls.		
rapid_recovery	Rapid Recovery	premier					Event							Common	01-210 C	All characters you control that rotate to heal this turn remove two points of damage instead of one.		
ravens_watching	Ravens Watching	premier					Event							Common	01-211 C	This card may only be played by a Villain player.  Target a card-based challenge.  Hero players must pay [Intrigue Icon] in addition to any other costs to play each event while resolving that challenge.		
raw_recruits	Raw Recruits	premier				2	Advantage	Player						Rare	01-212 R	Rotate this advantage as a limited event and pay [Politics Icon] [Combat Icon] (of any allegiance) to target a multiple troop in your killed pile.  Return that troop to your hand.		
ready_resources	Ready Resources	premier	1			1	Advantage	Player						Rare	01-213 R	You may put advantages from your hand face down under this card.  You may play any advantages from under this card as if they were in your hand.		
reducing_influence	Reducing Influence	premier					Advantage	Player						Uncommon	01-214 U	You may initiate a challenge each turn targeting a nation contested advantage.  For each 2 by which you succeed, remove another player's token from the advantage.		
regroup	Regroup	premier					Event	Limited						Common	01-215 C	Target any number of characters and troops who are participating in the same challenge.  The targets may immediately rotate to stand down.		
reinforcements	Reinforcements	premier					Event	Limited						Common	01-216 C	Target one troop in the battleground for each [Combat Icon] [Combat Icon] you pay.  Each target gains Reinforcement.		
remove_fatigue	Remove Fatigue	premier			1		Event							Uncommon	01-217 U	Target a character.  Ready that character.		
request_tribute	Request Tribute	premier					Challenge							Common	01-218 C	For each two points by which you succeed, you may draw one card.  If you do not succeed, all other players draw one card.		
respite	Respite	premier					Event							Common	01-219 C	Target a character or troop you control.  The target may remove up to three damage tokens if it rotates to heal this turn.		
rest_and_recovery	Rest and Recovery	premier					Advantage	Player						Uncommon	01-220 U	When none of your characters or troops participated in any challenges this turn, and you succeeded at a challenge on the previous turn, draw an additional card during the draw round.		
resupply	Resupply	premier	1			1	Advantage	Player						Uncommon	01-221 U	As a limited event, target a troop you control in the battleground and rotate this card.  Remove one point of damage from the target.		
rhuarc	Rhuarc	premier	2			4	Character	Aiel	Light Nature, Clan Chief of the Taardad Aiel, Taardad Aiel	3			4	Rare	01-222 R	You must have 5 pattern to recruit Rhuarc.  While you control Rhuarc, all Aiel characters you control gain +1 Combat while participating in a challenge.		
rule_of_power	Rule of Power	premier	1		1		Event							Rare	01-223 R	All ability symbols you rolled this turn have all allegiances.		
rumors_and_lies	Rumors and Lies	premier					Event							Common	01-224 C	Pay any amount of [Intrigue Icon].  Target one damaged troop per [Intrigue Icon] you pay.  The targeted troops may not participate in any card-based challenges next turn.		
sabotage	Sabotage	premier		1			Event							Common	01-225 C	Target any player.  He must randomly discard a card from his hand.  You may pay an additional [Intrigue Icon] [Intrigue Icon] to make him randomly discard an additional card. [CLARIFICATION: Sabotage may not be in a player's opening hand. - 02.13.2000 - ERRATA]		
saidar_angreal	Saidar Angreal	premier			2		Advantage	Character						Rare	01-226 R	Target a female character you control with the One Power ability.  Whenever she rolls her One Power dice, she rolls an equal number of additional One Power dice, up to a maximum of two extra dice from this advantage.		
saidin_angreal	Saidin Angreal	premier			2		Advantage	Character						Rare	01-227 R	Target a male character you control with the One Power ability.  Whenever he rolls his One Power dice, he rolls an equal number of additional One Power dice, up to a maximum of two extra dice from this advantage.		
scouting_party	Scouting Party	premier				2	Troop	Aiel	Multiple, Reinforcement				3	Uncommon	01-228 U	During the Coming to Grips step in which this troop is participating against monster troops, a Scouting Party may pay one [Combat Icon] as an event to add a token to your troop damage pool or to remove a token from the monster's controller's troop damage pool.		
search_and_destroy	Search and Destroy	premier					Challenge							Uncommon	01-229 U	Only Combat and One Power may be rolled in this challenge.  Target a player advantage.  If you succeed by five or more, discard that advantage.		
seasoned_warrior	Seasoned Warrior	premier				1	Advantage	Character						Fixed/Common	01-230 F/C	During the Opening Moves step of a challenge in which the target is participating, he may pay [Combat Icon] to add a token to your character damage pool.		
seat_of_power	Seat of Power	premier					Advantage	Player						Rare	01-231 R	You may rotate this advantage as a limited event to generate one [Politics Icon] for each nation contested advantage you control.  Symbols generated by this advantage have all allegiances.		
second_front	Second Front	premier					Event							Common	01-232 C	Monsters you control may participate in the same challenge as non-Dark One cards you control.		
secondary_efforts	Secondary Efforts	premier					Challenge							Fixed	01-233 F	If you succeed, add one token to your section of the Pattern.		
secret_aid	Secret Aid	premier					Event							Common	01-234 C	Target a character participating in a challenge.  During the Opening Moves steop of that challenge, the target automatically generates [Politics Icon] [Intrigue Icon] [Combat Icon] (in addition to any rolled results).		
sentries	Sentries	premier				1	Troop	Mercenary	Multiple				1	Uncommon	01-235 U	During the Opening Moves step in which this card is participating, you may rotate and kill this card to generate 2 opposition to the challenge.		
shaidar_haran_i	Shaidar Haran (I)	premier	3	1	1	1	Character	Dark One	Monster	2	2		4	Rare	01-236 R	You must have 6 Pattern to recruit Shaidar Haran.  Rotate Shaidar Haran to retrieve a card with the Dark One allegiance from your deck and place it in your hand.  Add one token to your section of the Pattern while you control Shaidar Haran.
shattered_dreams	Shattered Dreams	premier					Challenge							Uncommon	01-237 U	Target another player.  If you succeed by two or more, the target may not recruit next turn.		
shayol_ghul	Shayol Ghul	premier					Advantage	World	Contested Advantage					Rare	01-238 R	Only cards controlled by a Villain player may participate in challenges initiated with this advantage.  While you control Shayol Ghul, your Forsaken may use the Ta'veren ability to negate damage once per turn for each two by which you control it.		
similar_ideals	Similar Ideals	premier					Event							Fixed	01-239 F	If you are a Hero player, when you play this card you may recruit light nature characters without any allegiance penalty.  If you are a Villain player, when you play this card you may recruit dark nature characters without any allegiance penalty.		
siuan_sanche	Siuan Sanche	premier	3		2		Character	Aes Sedai	The Amyrlin Seat, Light Nature	4	2	3		Rare	01-240 R	You must have 5 pattern to recruit Siuan.  Rotate Siuan as an event to retrieve a card with the Aes Sedai allegiance from your deck and place it in your hand.		
skimming	Skimming	premier					Event							Uncommon	01-241 U	Target one character you control for each [One Power Icon] you pay.  Each target gains Reinforcement.		
skirmish	Skirmish	premier					Challenge							Common	01-242 C	No cards can reinforce this challenge.  If you succeed, add one token to your section of the Pattern.		
spying	Spying	premier		1			Event							Fixed	01-243 F	Target a player.  Look at his hand and any face down cards he controls.		
stalemate	Stalemate	premier					Challenge							Rare	01-244 R	If you succeed, there is no action round next turn.  If you succeed by five or more, add one token to your section of the Pattern.		
stedding	Stedding	premier					Event		Terrain					Rare	01-245 R	Target a card-based challenge.  Only one terrain event may target each challenge.  No One Power dice may be rolled in that challenge.  No effects requiring the One Power may be used in that challenge.		
strong_support	Strong Support	premier					Event	Limited						Common	01-246 C	When recruiting troops, you may pay their recruit cost with symbols generated from characters with different allegiances, as long as at least one symbol is paid by a character of the same allegiance as the troop.		
stymied	Stymied	premier					Event	Limited						Fixed	01-247 F	Target a character or troop participating in a challenge.  The target rolls one less die than normal for each ability.		
subtle_manipulations	Subtle Manipulations	premier		1	1		Event	Limited						Uncommon	01-248 U	Name a specific card type (such as player advantage or andor troop).  Look at the top five cards of one player's deck.  If you find any cards of that type, show them to all players and place them on the bottom of his deck.		
superior_weaponry	Superior Weaponry	premier				1	Advantage	Troop	Weapon					Common	01-249 C	If the target of this advantage rolls at least one [Damage Icon] while participating in a challenge, it generates an additional [Damage Icon].		
surprise_attack	Surprise Attack	premier					Event	Limited						Common	01-250 C	Target one or more troops you control.  Pay [Combat Icon] per target.  Each target gains Reinforcement, but all targets must reinforce the same challenge.		
surrounded	Surrounded	premier		1		1	Event							Common	01-251 C	Play during the Coming to Grips step of a challenge if you have at least twice as many troops participating in that challenge as your opponent.  For each of your troops that rolls any [Damage Icon], add a token to your character and troop damage pools.		
taking_advantage	Taking Advantage	premier	1	1		1	Advantage	Player						Rare	01-252 R	When you play an advantage that has a printed cost, you may draw a card. (Same printed cost) (Playing this card does not trigger its own effects) 05.27.2000 - ERRATA]		
tar_valon	Tar Valon	premier					Advantage	World	Contested Advantage					Uncommon	01-253 U	Only characters and troops with the Aes Sedai allegiance may participate in challenges initiated by this contested advantage. While you control Tar Valon, all characters you control with the Aes Sedai allegiance may participate in any nation contested advantage, regardless of normal restrictions. [08.21.2001 - ERRATA]		
tar_valon_guards	Tar Valon Guards	premier			1	1	Troop	Aes Sedai	Multiple				4	Uncommon	01-254 U	When rolling, Tar Valon Guards may roll a One Power die instead of one of its combat dice.  This troop gains +2 Combat ability while participating in the Tar Valon contested advantage.		
tar_valon_soldiers	Tar Valon Soldiers	premier			1	2	Troop	Aes Sedai	Multiple, Reinforcement				5	Uncommon	01-255 U	When rolling, Tar Valon Soldiers may roll a One Power die instead of one of its combat dice.  		
tear	Tear	premier					Advantage	World	Nation Contested Advantage					Uncommon	01-256 U	While you control Tear, add a token to this contested advantage each ready round.  If you control Tear by 5 or more, you are always considered the Dominant player.  If you control Callandor, you are considered to have five additional tokens on this card.		
tear_lancers	Tear Lancers	premier	2			1	Troop	Tear	Reinforcement	1			4	Rare	01-257 R			
tear_levies	Tear Levies	premier	1				Troop	Tear	Multiple				2	Common	01-258 C	When you recruit this card, draw a card.		
tear_skirmishers	Tear Skirmishers	premier	1			1	Troop	Tear	Multiple				2	Rare	01-259 R	As an event, Tear Skirmishers may pay [Combat Icon] to cease participating in a challenge.  Any results they generated in that challenge still apply.		
tear_spearmen	Tear Spearmen	premier				2	Troop	Tear	Multiple				4	Common	01-260 C	Tear Spearmen lose 1 Combat ability while participating in a challenge against monster troops.		
testing_fate	Testing Fate	premier					Challenge							Fixed	01-261 F	If you succeed, you may move one or two neutral tokens to your section of the Pattern.  If you do not succeed, you must convert one of your Pattern tokens to a neutral token.		
the_art_of_intrigue	The Art of Intrigue	premier					Advantage	Character						Uncommon	01-262 U	Target a character you control that has the Intrigue ability.  He gains +1 Intrigue.  You may rotate this card as a limited event to add a point of support or opposition to a challenge.  If the target character ever participates in a card-based challenge you initiate but do not succeed in, he takes a point of damage and you must discard this advantage.		
the_dragon_revealed	The Dragon Revealed	premier					Character	Dragon		2	1	4	3	Rare	01-263 R	Replace Rand al'Thor character when you have 5 Pattern.  When you succeed in a card based challenge you initiated, draw 1 card.		
the_dying_ground	The Dying Ground	premier					Event		Terrain					Uncommon	01-264 U	Target a card-based challenge.  Only one terrain event may target each challenge.  If a monster takes damage while participating in that challenge, it takes an additional point of damage when the challenge is resolved.		
the_great_game	The Great Game	premier	2				Advantage	Player						Rare	01-265 R	You may pay [Politics Icon] as a limited event to place a reserve token on this card.  You may remove two reserve tokens as a limited event to add one [Politics Icon] to your pool.  This symbol has the allegiance(s) of your starting character.		
the_ruby_dagger	The Ruby Dagger	premier			2		Advantage	Character	Weapon, Unique					Rare	01-266 R	Target a character you control.  Any character that takes damage from the target and is not completely healed by the end of the turn is killed.  Roll a One Power die each ready round.  If you roll a [One Power Icon], place a corruption token on the target.  It is treated as damage, but cannot be healed.  As an event, pay [One Power Icon x2] to remove a corruption token or pay [One Power Icon x5] to discard this advantage.		
the_stone_of_tear	The Stone of Tear	premier					Advantage	Player						Rare	01-267 R	If you control the Tear contested advantage, other players cannot add tokens to the Tear contested advantage except by using the challenge initiated by the Tear contested advantage.		
the_telling_blow	The Telling Blow	premier				1	Event							Common	01-268 C	Target a character or troop with damage participating in a challenge whose highest current ability is 1.  Put a point of damage on the target.		
the_tide_of_battle	The Tide of Battle	premier					Challenge							Fixed	01-269 F	If you succeed, this challenge becomes a player advantage targeting you.  Place one initiative token on it for each two you succeeded by.  You may rotate the advantage to remove any number of initiative tokens.  For each one removed, you may add a [Support Icon] or [Opposition Icon] to a card-based challenge.  Discard the advantage when there are no tokens remaining on it.		
the_truth_they_tell	The Truth They Tell	premier					Event	Limited						Uncommon	01-270 U	For every [Politics icon] [Politics icon] or [One Power icon] you pay from a character with the Aes Sedai allegiance, you may add one [Opposition icon] to a card-based challenge. [CLARIFICATION: The symbols for The Truth They Tell have to come from initial generation (unless you have some effect which allows you to rotate other characters during your Action Round). You may choose different challenges, and it is possible to put symbols into pools for challenges before the challenge has started to resolve. - 06.27.2000 - ERRATA]		
